"window","url","title","hostname"
"Current Window","https://cursos.alura.com.br/course/treinando-rede-neural-pytorch/task/68608","Treinando uma Rede Neural: Deep Learning com PyTorch: Aula 3 - Atividade 1 Parte I | Alura - Cursos online de tecnologia","cursos.alura.com.br"
"Current Window","https://github1s.com/alura-cursos/1563-treinando-pytorch/tree/aula-01","Funções_de_Perda.ipynb - alura-cursos/1563-treinando-pytorch - GitHub1s","github1s.com"
"Current Window","https://pytorch.org/docs/stable/nn.html#loss-functions","torch.nn — PyTorch 1.12 documentation","pytorch.org"
"Current Window","https://pt.wikipedia.org/wiki/Gradiente","Gradiente – Wikipédia, a enciclopédia livre","pt.wikipedia.org"
"Current Window","https://medium.com/datarisk-io/tudo-que-você-já-deveria-saber-sobre-otimização-de-hiperparâmetros-em-redes-neurais-parte-i-f1d8975f0177","Tudo que você já deveria saber sobre otimização de hiperparâmetros em redes neurais — Parte I | by Aryadne Guardieiro | Datarisk.io | Medium","medium.com"
"Current Window","chrome://newtab/","Nova guia","newtab"
"Current Window","http://localhost:8080/DCC","planex","localhost"
"Current Window","https://experimental-design.protimiza.com.br/e/4915437494075392","teste 1","experimental-design.protimiza.com.br"
"Current Window","https://brasilescola.uol.com.br/matematica/ponto-medio-um-segmento-reta.htm#:~:text=O ponto médio de um,duas partes com medidas iguais.&text=Podemos concluir que AB %3D 2,ponto médio do segmento AB.&text=Por meio de um método,A %2B yB )%2F2.","Ponto médio de um segmento de reta - Brasil Escola","brasilescola.uol.com.br"
"Current Window","https://developer.mozilla.org/pt-BR/docs/Web/JavaScript/Reference/Global_Objects/parseInt","parseInt() - JavaScript | MDN","developer.mozilla.org"
"Current Window","chrome://newtab/","Nova guia","newtab"
"Current Window","chrome-extension://aadahadfdmiibmdhfmpbeeebejmjnkef/manager.html","Window Manager","aadahadfdmiibmdhfmpbeeebejmjnkef"
